"Cohort","Replication","KNN","LR","MLP"
"TCGA-ESCA","66","0.5","0.733333333333333","0.666666666666667"
"TCGA-ESCA","67","0.5","0.56","0.506666666666667"
"TCGA-ESCA","68","0.5","0.5","0.453333333333333"
"TCGA-ESCA","69","0.5","0.453333333333333","0.693333333333333"
"TCGA-ESCA","70","0.42","0.626666666666667","0.52"
"TCGA-ESCA","71","0.5","0.5","0.733333333333333"
"TCGA-ESCA","72","0.5","0.706666666666667","0.613333333333333"
"TCGA-ESCA","73","0.5","0.56","0.453333333333333"
"TCGA-ESCA","74","0.5","0.733333333333333","0.88"
"TCGA-ESCA","75","0.5","0.5","0.693333333333333"
"TCGA-ESCA","76","0.5","0.88","0.44"
"TCGA-ESCA","77","0.5","0.613333333333333","0.586666666666667"
"TCGA-ESCA","78","0.5","0.56","0.506666666666667"
"TCGA-ESCA","79","0.5","0.413333333333333","0.653333333333333"
"TCGA-ESCA","80","0.5","0.5","0.4"
"TCGA-ESCA","81","0.5","0.84","0.533333333333333"
"TCGA-ESCA","82","0.5","0.5","0.666666666666667"
"TCGA-ESCA","83","0.5","0.72","0.76"
"TCGA-ESCA","84","0.5","0.373333333333333","0.613333333333333"
"TCGA-ESCA","85","0.5","0.306666666666667","0.226666666666667"
"TCGA-ESCA","86","0.5","0.5","0.72"
"TCGA-ESCA","87","0.5","0.5","0.92"
"TCGA-ESCA","88","0.5","0.44","0.52"
"TCGA-ESCA","89","0.5","0.72","0.533333333333333"
"TCGA-ESCA","90","0.5","0.453333333333333","0.226666666666667"
"TCGA-ESCA","91","0.5","0.5","0.8"
"TCGA-ESCA","92","0.5","0.813333333333333","0.72"
"TCGA-ESCA","93","0.5","0.453333333333333","0.893333333333333"
"TCGA-ESCA","94","0.5","0.5","0.72"
"TCGA-ESCA","95","0.5","0.5","0.413333333333333"
"TCGA-ESCA","96","0.5","0.746666666666667","0.68"
"TCGA-ESCA","97","0.5","0.693333333333333","0.24"
"TCGA-ESCA","98","0.5","0.746666666666667","0.613333333333333"
"TCGA-ESCA","99","0.5","0.413333333333333","0.613333333333333"
"TCGA-ESCA","100","0.5","0.5","0.666666666666667"
"TCGA-HNSC","1","0.5","0.5","0.553086419753086"
"TCGA-HNSC","2","0.487654320987654","0.832098765432099","0.377777777777778"
"TCGA-HNSC","3","0.5","0.535802469135803","0.555555555555556"
"TCGA-HNSC","4","0.5","0.725925925925926","0.481481481481482"
"TCGA-HNSC","5","0.5","0.822222222222222","0.224691358024691"
"TCGA-HNSC","6","0.5","0.688888888888889","0.572839506172839"
"TCGA-HNSC","7","0.5","0.792592592592593","0.548148148148148"
"TCGA-HNSC","8","0.5","0.85679012345679","0.65925925925926"
"TCGA-HNSC","9","0.5","0.479012345679012","0.227160493827161"
"TCGA-HNSC","10","0.5","0.703703703703704","0.493827160493827"
"TCGA-HNSC","11","0.5","0.407407407407407","0.382716049382716"
"TCGA-HNSC","12","0.5","0.88641975308642","0.353086419753086"
"TCGA-HNSC","13","0.5","0.602469135802469","0.469135802469136"
"TCGA-HNSC","14","0.5","0.585185185185185","0.365432098765432"
"TCGA-HNSC","15","0.5","0.676543209876543","0.488888888888889"
"TCGA-HNSC","16","0.5","0.723456790123457","0.4"
"TCGA-HNSC","17","0.5","0.553086419753086","0.804938271604938"
"TCGA-HNSC","18","0.5","0.809876543209877","0.587654320987654"
"TCGA-HNSC","19","0.5","0.612345679012346","0.804938271604938"
"TCGA-HNSC","20","0.5","0.730864197530864","0.402469135802469"
"TCGA-HNSC","21","0.5","0.627160493827161","0.251851851851852"
"TCGA-HNSC","22","0.5","0.62962962962963","0.545679012345679"
"TCGA-HNSC","23","0.5","0.570370370370371","0.283950617283951"
